Title;How to test;Expected Result
Verify rent-exempt minimum is reserved for new position account;Create a new staking position and inspect the lamports balance of the created position PDA on a devnet explorer;Position account holds at least the rent-exempt minimum for its data size, paid by the staker
Verify ATA is created once per (wallet, mint) and reused;Stake twice from the same wallet and inspect whether a new associated token account is created each time;The MEX ATA is created only on the first interaction and reused on subsequent stakes; no duplicate ATA/rent is paid
Verify rent is refunded when a position account is closed;Fully unstake a position so its account is closed, then check the wallet's SOL balance change;Rent lamports from the closed position account are returned to the appropriate owner (staker or fee payer, per design) minus network fees
Create multiple concurrent positions and test batch claim compute budget;Open 8–10+ independent positions from one wallet, then attempt to claim/compound all of them in as few transactions as the UI supports;All claims complete without hitting the compute budget limit, or the UI correctly batches/paginates instructions across multiple transactions when the limit would be exceeded
Verify per-transaction compute budget headroom on claim-all;Use a devnet explorer to inspect compute units consumed by a "claim all positions" transaction with many positions;Compute units consumed stay under the network's per-transaction limit (or the app explicitly requests a higher compute budget via `ComputeBudgetProgram` and it's still within protocol limits)
Attempt to pass a PDA with incorrect seeds as the position account;Modify the intercepted transaction to reference a manually derived (wrong-seed) PDA instead of the real position account, then submit;Program's account validation (seeds/bump check) rejects the mismatched PDA
Attempt to pass an account from a different program as the position account;Substitute the position account field with an account owned by an unrelated program (e.g. the System Program's rent sysvar or another dApp's account);Program rejects the instruction due to owner/discriminator mismatch on the substituted account
Attempt to substitute the pool config account with an attacker-controlled account;In an admin-adjacent or stake instruction, replace the expected global pool-config account with a fake account crafted by the attacker;Program validates the pool-config account against its expected address/PDA and rejects the substitution
Verify program derives and validates PDAs server-side, not trusting client-supplied pubkeys;Review/observe on-chain behavior when supplying a syntactically valid but not-derived-from-seeds pubkey for any PDA account argument;Program independently derives the expected PDA and rejects the instruction if the supplied account doesn't match
Verify lock-end timestamp is computed from on-chain Clock, not client time;Change the local device clock forward by several days, then check the displayed and enforced lock/unlock state for an active position;Lock/unlock state is unaffected by the device clock change; it matches the on-chain Clock/slot-derived timestamp
Verify check-in day boundary uses on-chain Clock;Attempt a second check-in right around local midnight while the device clock is skewed relative to UTC;"One check-in per day" is enforced based on on-chain time, not the skewed local device time
Verify behavior right at a day boundary (UTC midnight) for check-in;Perform a check-in a few minutes before and a few minutes after a UTC day boundary;Check-ins on either side of the real on-chain day boundary are treated as separate days; no double-count or missed day within the same boundary crossing
Attempt to replay a previously confirmed stake transaction;Resubmit the exact same fully-signed stake transaction (same signature, same recent blockhash) after it has already been confirmed;Second submission is rejected (duplicate signature / already processed), no double stake is created
Attempt to replay a claim transaction using an expired blockhash;Take an old signed claim transaction referencing a blockhash that has since expired and resubmit it;Transaction is rejected with a blockhash-not-found/expired error; no duplicate claim occurs
Verify recent-blockhash expiry invalidates stale transactions;Build and sign a transaction, wait past the ~60-90 second blockhash validity window, then submit;Submission fails due to expired blockhash rather than executing with stale context
Verify transaction atomicity on a forced mid-instruction failure;Construct a scenario where a later instruction in a multi-instruction transaction should fail (e.g. insufficient balance for a compound-then-transfer sequence) and submit it;The entire transaction fails and rolls back; no partial state change (e.g. no partial compound without the corresponding transfer) is left on-chain
Verify network fee is still charged on a failed transaction;Submit a transaction that is expected to fail on-chain validation (e.g. blocked unstake before unlock) and check the fee payer's SOL balance before/after;SOL balance decreases by the base transaction fee even though the transaction's instructions did not succeed
Verify rent is paid correctly when auto-compound-at-unlock needs to open new accounts;Trigger the unlock/auto-compound flow on a position where an additional account must be created as part of settling rewards;Any new account's rent is covered within the same transaction and correctly attributed to the paying party, with no follow-up "insufficient funds" failure
Verify multisig requires the configured signature threshold for admin actions;Attempt to execute a Squads admin action (e.g. pause staking, update config) with fewer signatures than the configured threshold;Action does not execute until the threshold number of valid signer approvals is reached
Attempt an admin action with an unauthorized (non-member) signer;Have a wallet that is not a member of the Squads multisig attempt to approve/execute an admin instruction;Approval/execution is rejected; only designated multisig members can contribute valid signatures
Verify a rejected/cancelled multisig proposal does not execute;Create a Squads proposal for an admin action, have members reject or cancel it before reaching threshold;Proposal is marked rejected/cancelled and the underlying instruction never executes on-chain
Verify multisig proposal expiration behaves correctly;Create a proposal and let it sit unexecuted past any configured expiration window;Expired proposal cannot be executed even if threshold is later reached, per Squads' expiration rules
Verify indexer stays consistent with on-chain state after an admin/config change;Have the multisig execute a config change (e.g. update to a parameter) and then query the indexer/read-only API shortly after;Indexer reflects the updated on-chain state within its expected sync latency, with no stale cached values served indefinitely
Verify ATA/account rent accounting does not leak lamports on repeated stake/unstake cycles;Perform several full stake-then-unstake cycles on the same wallet and track cumulative SOL spent beyond documented network fees;No unexplained SOL/lamport loss occurs beyond rent (correctly refunded on close) and standard transaction fees
