Title;How to test;Expected Result
Access admin-only UI route without being a multisig signer;Navigate directly to the admin/config URL with a non-signer wallet connected;Route either redirects/hides admin controls, and any admin action attempted from it is rejected on-chain (not just hidden by the front end)
Call read-only API for another wallet's data without authorization;Using DevTools/curl, request the API endpoint with an arbitrary wallet address that is not the connected one;API returns data (by design, if truly read-only/public) or is explicitly rejected — verify the response matches the intended access model, not an accidental broader leak (e.g. internal fields, other users' PII)
Bypass "connect wallet" gate to reach staking actions;Try to open the Stake/Claim/Unstake screens directly via URL without connecting a wallet;Screens either require connection before allowing any signable action, or any attempt to build/sign a transaction fails gracefully
Submit stake instruction referencing a different wallet as the position owner (IDOR);Copy the stake request from the Network tab, replace the "owner"/"authority" account with a victim wallet's pubkey, sign with the attacker's key and submit;Program rejects the transaction (owner/authority must match signer) — stake is not created against the victim's PDA
Submit claim instruction for a position owned by another wallet;Modify the intercepted claim transaction to target another user's known position PDA while signing as attacker;Program rejects the instruction because the signer is not the authority on that position account
Submit unstake instruction for a position PDA belonging to another wallet;Modify the intercepted unstake transaction's position account to a victim's PDA, keep attacker as signer;Program rejects the instruction; victim's funds are not withdrawn to the attacker
Attempt daily check-in on a position owned by another wallet;Modify the intercepted check-in transaction to reference another user's position while signing as attacker;Program rejects the check-in; victim's streak/tier is unaffected
Attempt to redirect claim/unstake payout to an arbitrary destination account;Edit the destination token account in the intercepted transaction to an attacker-controlled ATA that isn't derived from the position owner;Program validates the destination account is the owner's associated token account (or explicit owner check) and rejects mismatched destinations
Race two simultaneous stakes near the global cap boundary;From two wallets, submit stakes simultaneously that would jointly push total staked just over the 30,000,000 MEX global cap;Only stakes that keep the total at or under the cap succeed; the one that would exceed it is rejected (note: currently unenforced per PRD — expect this to fail until implemented)
Race two simultaneous stakes near the per-wallet cap boundary;From the same wallet, fire two stake transactions concurrently that would jointly exceed the 500,000 MEX per-wallet cap;Only the portion within the cap succeeds; the excess is rejected (note: currently unenforced per PRD — expect this to fail until implemented)
Race claim and compound on the same position;Trigger "Claim" and "Compound" on the same position at nearly the same time (two browser tabs / two quick clicks);Only one action succeeds per reward unit; rewards are not paid out twice (no double accrual/double spend)
Race two unstake requests on the same position;Submit two unstake transactions for the same position in quick succession;Only the first succeeds; the second fails because the position account no longer exists/has no funds (no double withdrawal)
Race two check-ins on the same position within the same day;Send two check-in transactions back-to-back for the same position;Only one check-in per day is recorded; streak increments once, not twice
Race check-in and unstake on a position at unlock time;Submit a check-in and an unstake instruction for the same position at the moment it unlocks;Both resolve consistently with the documented order of operations; no state where rewards are lost or duplicated
Bypass front-end minimum stake amount;Intercept the stake request, lower the amount below the UI-enforced minimum, sign and submit directly;Program-level minimum (if any) rejects the amount, or if there is no on-chain minimum this is flagged as a gap between UI and contract validation
Bypass front-end per-wallet cap check via crafted instruction;Build/submit a stake instruction directly (bypassing the UI form) for an amount that would exceed the 500,000 MEX per-wallet cap;Program rejects the excess amount (currently expected to fail since the cap isn't implemented on-chain per PRD)
Bypass front-end global cap check via crafted instruction;Build/submit a stake instruction directly for an amount that would push total pool stake over 30,000,000 MEX;Program rejects the excess amount (currently expected to fail since the cap isn't implemented on-chain per PRD)
Bypass "already checked in today" UI lock;Directly resend the check-in instruction from Network tab multiple times within the same day, bypassing the disabled button;Program rejects check-ins beyond one per day regardless of UI state
Bypass "locked, cannot unstake" UI restriction;Directly submit the unstake instruction copied from Network tab for a position still within its lock window;Program rejects the unstake based on on-chain lock-end timestamp, independent of what the UI allowed to be built
Submit a zero-amount stake instruction;Craft and submit a stake transaction with amount = 0;Program rejects zero-amount stakes with a clear error, no position/account is created
Submit a negative or overflow amount for stake;Craft a stake instruction with a negative (if representable) or numerically overflowing amount value;Program rejects the malformed amount; no unexpected large balance is credited
Submit a stake instruction with amount exceeding wallet's actual MEX balance;Craft a stake transaction requesting more MEX than the wallet holds, submit directly;Transaction fails at the token-transfer level (insufficient funds); no position is created
Tamper with displayed APR/rate value client-side and attempt to claim based on it;Use DevTools to modify the rendered rate/APR value, then trigger claim;Actual paid-out amount is computed and enforced by the program from on-chain state, not from the tampered display value
Attempt to skip wallet's signature by replaying a pre-approved transaction payload;Capture a previously built (unsigned) transaction payload from the Network tab and attempt to resubmit it without a fresh signature;Submission fails without a valid, matching signature from the required signer
Access the indexer's internal/administrative endpoints if exposed;Enumerate API routes found in the front-end bundle/Network tab for anything beyond the documented read-only endpoints;No write/administrative capability is exposed on endpoints that are supposed to be read-only
Check for sensitive data exposure in front-end bundle or API responses;Search the JS bundle and API responses (via DevTools) for private keys, admin secrets, or internal service URLs;No secrets/keys beyond what's required for public RPC access are present in client-visible code or responses
Attempt cross-wallet session confusion by switching Phantom account mid-session;Connect wallet A, open a position's action modal, switch Phantom to wallet B without reloading, then submit;The app either forces a reload/reconnect flow or correctly rebuilds the transaction for the newly active wallet B (no action is silently signed/attributed to the wrong wallet)
Verify client-side validation errors have matching on-chain enforcement for every blocked action found above;For each case where the UI blocks an action, also attempt the equivalent raw instruction via DevTools-copied request;Every UI-side restriction has an equivalent on-chain check; any UI-only restriction is logged as a bug (front end is a hint, program is the source of truth)
